,station,latitude,longitude,elevation,depth
3855,CRYS,39.249144033,-120.009735861,2098.1435173,100.0
3871,CSHQ,46.870726695,-121.732432219,2882.3516633,72.74425187528763
3872,CSHR,46.87071876,-121.73242218,2881.9399478,72.7445798701609
3875,CSKI,47.380571509,-122.235801267,10.2137686,52.66303015384952
3890,CST1,49.258190385,-117.657535595,514.0323694,100.0
4027,CTPT,42.37669393,-122.893958817,370.5656313,48.83545559818424
4072,CULM,47.975412676,-121.686864392,437.1930535,70.55108394334447
4083,CUSH,47.423344093,-123.219924034,217.1976219,36.28651895106613
4099,CVO1,45.610920464,-122.496132465,66.6594998,52.95826613030021
4101,CWAK,49.15293137,-121.95383408,-0.2283247,90.65191766303484
4404,DANP,46.280041354,-119.276277011,103.7465352,100.0
4432,DAVI,39.95636158,-120.578458938,2007.6461439,100.0
4439,DBLO,42.790501667,-120.419344699,1516.7964359,100.0
4446,DCSO,43.211008674,-123.341513653,136.8074697,37.71037620724114
4450,DDSN,43.118790921,-123.244241568,953.0876865,40.07759807327986
4452,DEA2,48.752737802,-122.480034178,6.6534565,63.189042986216286
4467,DEEJ,47.468836425,-123.926143588,103.6048175,28.338821471838877
4547,DIAM,40.204240066,-120.472538481,1968.801486,100.0
4599,DLTA,49.133530668,-123.015324771,-7.4556525,60.87758573781006
4610,DMND,48.136771372,-117.16365776,718.0958607,100.0
4666,DOT1,39.156198564,-119.763439704,1415.788915,100.0
4671,DOYL,40.025856122,-120.147315789,1686.2282541,100.0
4688,DR2O,49.322617936,-119.624984288,541.8771562,100.0
4689,DR4O,49.322618247,-119.624983685,541.8624406,100.0
4692,DRA3,49.322374134,-119.624826002,535.644364,100.0
4693,DRA4,49.322740927,-119.624481845,541.3889136,100.0
4698,DRAO,49.322618799,-119.624982591,541.8697138,100.0
4730,DRYV,40.401465286,-119.852075614,1288.7563517,100.0
4801,DVPT,47.65607069,-118.147814028,727.6760768,100.0
4809,DWH1,47.77410395,-122.080155901,109.09477,57.52077568107596
4926,EDNA,40.901034115,-117.314652391,1476.1747119,100.0
4966,EGLI,43.030943236,-120.786804215,1465.1820675,100.0
5005,ELGN,45.564862924,-117.928426935,815.9945583,100.0
5011,ELIZ,49.873053362,-127.122664089,164.6825002,21.792815533519352
5016,ELKO,40.914690001,-115.817198,2016.884815,100.0
5025,ELSR,47.497604361,-122.760584253,115.2245286,42.03506646230015
5032,EM01,43.559072178,-116.228345481,858.3765616,100.0
5061,ENGL,39.461515704,-120.537183319,1912.8277904,100.0
5074,ENTR,45.431256535,-117.288081843,1126.5698789,100.0
5076,ENUM,47.206207108,-121.955583983,227.0828932,62.50353309540195
5086,EPHR,47.329335799,-119.544679401,375.4538427,100.0
5167,EUCH,44.834741181,-123.870811628,721.9084558,28.402618326480606
5177,EVER,41.86455103,-120.58270597,1579.6012485,100.0
5218,FAND,43.147005727,-120.580411117,1526.04351,100.0
5225,FARR,40.512950108,-118.734091118,1610.6418486,100.0
5227,FARW,47.636386023,-117.654382664,729.2272336,100.0
5269,FERI,40.076530967,-120.308310311,1796.2016859,100.0
5317,FIRE,39.90355559,-119.089923767,1426.6967367,100.0
5323,FITT,40.332137894,-118.092511115,1454.6876035,100.0
5324,FITZ,42.022129529,-120.589220918,1931.3920322,100.0
5339,FLAN,40.158345817,-119.820139031,1263.6303739,100.0
5365,FLEM,40.417959103,-120.279768593,1360.3046053,100.0
5400,FLN1,39.466623174,-118.763747951,1187.3518262,100.0
5472,FOST,41.10887789,-120.792039701,1617.220046,100.0
5477,FOUR,43.364338833,-120.688124353,1402.957551,100.0
5481,FOXR,40.575191372,-119.472272683,1299.9916593,100.0
5503,FREN,39.883783431,-120.222212099,1835.8151406,100.0
5507,FRFX,47.00769551,-121.959895132,939.0870752,65.34227661789558
5508,FRG1,39.396263968,-118.634606306,1248.5456357,100.0
